 Service Location - ID, Service Location - Description, Service Location - Address Line 1, Service Location - City, Service Location - Postal Code, Service Location - State, Latitude, Longitude
1086370,Burger Lounge (Roseville/Roseville),1198 Roseville Pkwy Ste 135,Roseville,95678,CA,38.76829,-121.26791
1625,Anchors Fish N Chips (Roseville/Harding),116 Harding Blvd,Roseville,95678,CA,38.74614,-121.27181
8102,El Burrito (Roseville/Douglas),1850 Ste 510 Douglas Blvd.,Roseville,95661,CA,38.74336,-121.25802
3483,Mountain Mikes (Roseville/Douglas),1850 Douglas Blvd,Roseville,95661,CA,38.74336,-121.25802
1112297,Eureka (Roseville/Gibson),234 Gibson Dr Suite 100,Roseville,95678,CA,38.776958,-121.274063
1037517,2M - Lazy Dog (Roseville/Gibson),238 Gibson Drive,Roseville,95678,CA,38.777162,-121.274046
1026014,2M - Brass Tap (Rocklin/Commons),5150 Commons Dr Ste 101,Rocklin,95677,CA,38.80223,-121.207956
2112,Cattlemens Restaurant (Roseville/Taylor),2000 Taylor Road,Roseville,95678,CA,38.76729,-121.25469
4044,Roseville Homewood Suites (Roseville/Creekside Ridge),401 Creekside Ridge Ct,Roseville,95678,CA,38.77288,-121.2599
1112297,Eureka (Roseville/Gibson),234 Gibson Dr Suite 100,Roseville,95678,CA,38.776958,-121.274063
1037517,2M - Lazy Dog (Roseville/Gibson),238 Gibson Drive,Roseville,95678,CA,38.777162,-121.274046
1026014,2M - Brass Tap (Rocklin/Commons),5150 Commons Dr Ste 101,Rocklin,95677,CA,38.80223,-121.207956
6386,Jerseys Haircuts and Brews (Roseville/Stanford Ranch),6726 Stanford Ranch Rd Ste 4,Roseville,95678,CA,38.78275,-121.26703
1043943,Sushi Kokogan (Rocklin/Granite Dr),4820 Granite Dr,Rocklin,95677,CA,38.790577,-121.223552
2291,Corner Pocket Sports Bar (Citrus Heights/Sunrise),7777 Sunrise Boulevard 1400,Citrus Heights,95610,CA,38.70713,-121.27285
2283,Cool River Pizza (Roseville/Cirby),1805 Cirby Way 3,Roseville,95678,CA,38.730107,-121.256198
3591,Old Spaghetti Factory (Roseville/Sunrise),731 Sunrise Ave,Roseville,95661,CA,38.73336,-121.27145
4475,Sushi House (Roseville/Sunrise),901 Sunrise Ave,Roseville,95661,CA,38.73239,-121.27151
2685,Glass Turtle (Roseville/Sunrise),901 Sunrise Ave,Roseville,95661,CA,38.73239,-121.27151
1065776,Sunrise Thai (Citrus Heights/Sunrise),7777 Sunrise Blvd Ste 2200,Citrus Heights,95610,CA,38.70713,-121.27285
1019263,Crepes & Burgers (Citrus Heights/Auburn),8000 Auburn Blvd,Citrus Heights,95610,CA,38.7115,-121.28998
4589,Cheesecake Factory (Roseville/Galleria),1127 Galleria Blvd,Roseville,95678,CA,38.77299,-121.26866
3951,Red Robin (Roseville/Galleria),1184 Galleria Blvd,Roseville,95678,CA,38.77231,-121.26404
5027,Buckhorn Grill (Roseville/Galleria),1151 Galleria Blvd,Roseville,95678,CA,38.77403,-121.27018
6844,Krush Burger (Roseville/Galleria),1151 Galleria Blvd,Roseville,95678,CA,38.77403,-121.27018
8339,Land Ocean (Roseville/Galleria),1151 Galleria Blvd,Roseville,95678,CA,38.77403,-121.27018
1938,Buca Di Beppo (Roseville/Galleria),1212 Galleria Blvd,Roseville,95678,CA,38.77296,-121.26366
1672,Arigato Sushi (Roseville/Galleria),1136 Galleria Boulevard,Roseville,95678,CA,38.77011,-121.26435
4100,Round Table (Roseville/Pleasant Grove),1020 Pleasant Grove Blvd,Roseville,95678,CA,38.77848,-121.2898
1033046,Mountain Mikes (Roseville/Pleasant Grove),996 Pleasant Grove Blvd,Roseville,95678,CA,38.77947,-121.28871
3619,On The Border (Sacramento/Truxel),3521 Truxel Rd,Sacramento,95834,CA,38.63624,-121.50381
3180,Logans Roadhouse (Sacramento/N Freeway),3698 N Freeway Blvd,Sacramento,95834,CA,38.63786,-121.49466
4804,Virgin Sturgeon (Sacramento/Garden),1577 Garden Hwy,Sacramento,95833,CA,38.60473,-121.52268
2162,Chevys (Sacramento/Garden),1369 Garden Hwy,Sacramento,95833,CA,38.60399,-121.51682
5066,Crawdads River Cantina (Sacramento/Garden),1375 Garden Hwy,Sacramento,95833,CA,38.60343,-121.51728
1116267,Daikon Korean BBQ (Sacramento/N Freeway),3636 N Freeway Blvd,Sacramento,95834,CA,38.63929,-121.49866
1113698,Wyndham Garden (Sacramento/Terracina),2298 Terracina Dr,Sacramento,95834,CA,38.652223,-121.511096
1016123,2M - Golden 1 Center (Sacramento/David J Stern),500 David J Stern Walk,Sacramento,95814,CA,38.580885,-121.500456
1016123,2M - Golden 1 Center (Sacramento/David J Stern),500 David J Stern Walk,Sacramento,95814,CA,38.580885,-121.500456
